nom,id
25 Fusilles,4019
Abbe Grimault,4020
Abords Launay,4018
Abords Lauriais,4009
Abords Rouvray,4007
Acigne Mairie,4504
Acquets,4508
Agrocampus,4511
Aire du 8 Mai,4514
Aire Libre,4301
Alexandre Gilois,4330
Alfred de Musset,4310
Alma,4760
Alphasis,4753
Anatole France,4758
Anatole France Ev,4759
Anita Conti,4750
Anjou,4751
Anne de Bretagne,4737
Ardriers,4738
Argoat,4725
Argonautes,4707
Armorique,3500
Assomption,3501
Atalante Champeaux,3504
Auberge de Jeunesse,3514
Auditoire,3851
Auriol,3853
Avenir,3855
Aeroport,3879
Baiersdorf,9147
Balzac,3864
Barberais,3425
Bas Sommier,3427
Bas Village,3421
Basses Noes,3406
Beaulieu Chimie,2701
Beaulieu Chimie Ev,2770
Beaulieu Cite U,2756
Beaulieu INSA,2734
Beaulieu INSA Ev,2747
Beaulieu Restau U,2728
Beauregard,2720
Beausoleil,2716
Beauvais,2707
Becquerel,2710
Bel Air,3201
Bellangerais,3262
Belle Arrivee,3254
Belle Ecuelle,3257
Belle Epine,3245
Belle Etoile,3246
Belle Fontaine,3239
Bellevue,3216
Berger,3209
Berry,3212
Bersandieres,3103
Berthault,3104
Besneraie,3176
Betton Centre,3178
Betton Mairie,3170
Betton Rue de Rennes,3174
Betton Vallee,3139
Bigot de Preameneu,3124
Binquenais,3120
Binquenais College,3122
Binquenais Le Moine,3116
Bintin,3107
Bles d'Or,3604
Boberil,3612
Bobinais,4800
Bocage,4805
Bois Esnault,1003
Bois Labbe,9151
Bois Menu,9018
Bois Perrin,1737
Boisardiere,1734
Bordage,1687
Bossardiere,1682
Botrel,1683
Boulais,1675
Boulais Pochetiere,1676
Bouleaux,1644
Bourbonnais,1646
Bourg,1639
Bourgbarre Mairie,1630
Bourgchevreuil,1613
Bourgeois,1608
Bourgogne,1604
Bourgueil,1578
Bouriande,1586
Boussardiere,1569
Bout de Lande,1570
Bouvrais,1554
Bouzat,1548
Breil,1550
Breillou,1546
Brest Verdun,1543
Bretonniere,1539
Broceliande,1529
Brosse Allee,1534
Brossolette,1521
Bruz Centre,1511
Bruz Gare,1500
Brequigny Piscine,1494
Buisson,1496
Becherel Centre,1493
Becherel Ecole,1487
Calendrou,1481
Caliorne,1471
Callouet,1467
Calmette,1470
Calvaire,1462
Camus,1460
Canada,1455
Carre Dumaine,1452
CARSAT,1447
Centre,1434
Centre de Loisirs,1429
Centre Meteo,1426
Centre scolaire Pace,1414
Cerisaie,1418
Cesson College,1419
Cesson Gare,1404
Cesson Hopital Prive,1397
Cesson Mairie,1395
Cesson Piscine,1396
Chalotais,1382
Chambre Agriculture,1368
Champ Daguet,1373
Champ Devant,1362
Champ du Puit,1358
Champ Giron,1343
Champ Jacquet,1344
Champ Martin,1338
Champ Mulon,1327
Champ Niguel,1328
Champ Noel,1319
Champ Rouget,1321
Champalaune,1318
Champele,1310
Champion de Cice,1296
Champs Blancs,1298
Champs Bleus,1299
Champs Freslons,1291
Champs Libres,1285
Champs Manceaux,1286
Champs Peans,1265
Chantepie Eglise,1262
Chantepie Mairie,1257
Chapelle-Chaussee,1244
Chaperonnais,1247
Chapitre,1238
Chardonnet,1232
Charles de Gaulle,1226
Charmilles,1229
Chartres Centre,1221
Chaussairie,1217
Chauvrais Malabry,1218
Chemin Vert,1211
Cherterie,1197
Chesnais,1192
Chevaigne Gare,1194
Chevaigne Mairie,1188
Cheval Blanc,1185
Chevallerais,1186
Chopinais,1179
CHP Saint-Gregoire,1180
Chataigneraie,1172
Chateau d'Eau,1168
Chateau de Vaux,1161
Chateau Monniais,1158
Chateaudun,1147
Chateliers,1139
Chatillon,1130
Cheques Postaux,1126
Chene aux dames,1118
Chene Centenaire,1099
Chene Germain,1092
Chene Herve,1090
Chene Lierru,1080
Chene Vert,1061
Cice Blossac,1051
Cimetiere de l'Est,1052
Cimetiere Nord,1046
Cite des Jardins,1040
Cite Judiciaire,1029
Clairefontaine,1030
Clairville,1017
Clayes Centre,1018
Clemenceau,1016
Cleunay,2455
Cleunay Stade,2456
Clinique La Sagesse,2452
Clos Courtel,2448
Clos des Cerisiers,2423
Clos des Tilleuls,2420
Clos Vezins,2416
Clotilde Vautier,2410
Coeur de Campus,2412
Coeur de Courrouze,2405
Colin,2505
College Brassens,2541
College Cleunay,2542
College Jean Moulin,2525
College Pole Sud,2518
College Rosa-Parks,2507
College Recipon,2509
College Saint-Paul,6000
College St-Yves,6003
Combes,3834
Commeurec,4364
Condate,4366
Constant Merel,4367
Corbieres,4360
Cormier,4362
Cornouaille,3729
Corps-Nuds Gare,3702
Corps-Nuds Mairie,3703
Coteau,3707
Couais,2860
Coualeuc,2858
Couasmes,2855
Coubertin,2838
Cour Neuve,2830
Cours d'A Haut,2824
Cours Kennedy,2821
Courtines,2816
Croix aux Potiers,2817
Croix Blanche,2809
Croix de Pierre,2268
Croix du Pigeonnet,2272
Croix Faucheux,2257
Croix Fleurie,2260
Croix Ignon,2243
Croix Madame,2240
Croix Malinge,2233
Croix Rouge,2219
Croix Saint-Helier,2216
Croix Simon,2218
Croix Vaisserelle,2213
Croix Verte,2214
Cropy,2209
Cucille,2206
Cuce,3951
Curien,3960
Coteaux,3801
Dargent,3802
De Lesseps,3835
Destiers,3836
